CG_name	Gene	Chromosome	Site
CR44115	asRNA:CR44115	2L	""
CR44116	asRNA:CR44116	2L	""
CR44117	lncRNA:CR44117	X	""
CR44118	lncRNA:CR44118	X	""
CR44119	asRNA:CR44119	2L	""
CR44120	lncRNA:CR44120	2L	""
CR44121	lncRNA:CR44121	2L	""
CR44124	asRNA:CR44124	X	""
CR44125	lncRNA:CR44125	2R	""
CR44126	lncRNA:CR44126	2R	""
CR44127	lncRNA:CR44127	2R	""
CR44129	lncRNA:CR44129	X	""
CR44130	asRNA:CR44130	2R	""
CR44131	lncRNA:CR44131	2R	""
CR44133	lncRNA:CR44133	3R	""
CR44134	asRNA:CR44134	3R	""
CR44135	lncRNA:CR44135	3R	""
CR44136	lncRNA:CR44136	3R	""
CR44137	asRNA:CR44137	3R	""
CR44138	lncRNA:CR44138	3R	""
CR44143	lncRNA:CR44143	2L	""
CR44144	asRNA:CR44144	2L	""
CR44145	lncRNA:CR44145	2L	""
CR44146	lncRNA:CR44146	2L	""
CR44147	asRNA:CR44147	2L	""
CR44148	lncRNA:CR44148	2L	""
CR44149	lncRNA:CR44149	2L	""
CR44150	lncRNA:CR44150	2L	""
CR44151	lncRNA:CR44151	2L	""
CR44155	asRNA:CR44155	3R	""
CR44156	lncRNA:CR44156	3R	""
CR44157	lncRNA:CR44157	3R	""
CR44160	asRNA:CR44160	3R	""
CR44161	lncRNA:CR44161	2R	""
CR44164	lncRNA:CR44164	2R	""
CR44165	asRNA:CR44165	2R	""
CR44166	lncRNA:CR44166	2R	""
CR44168	asRNA:CR44168	2R	""
CR44169	asRNA:CR44169	2R	""
CR44170	lncRNA:CR44170	2R	""
CR44171	lncRNA:CR44171	2R	""
CR44172	lncRNA:CR44172	2R	""
CR44173	lncRNA:CR44173	3R	""
CR44175	lncRNA:CR44175	3R	""
CR44176	asRNA:CR44176	3R	""
CR44177	lncRNA:CR44177	3R	""
CR44178	lncRNA:CR44178	3R	""
CR44179	asRNA:CR44179	3R	""
CR44180	lncRNA:CR44180	2L	""
CR44181	asRNA:CR44181	2L	""
CR44182	asRNA:CR44182	2L	""
CR44183	lncRNA:CR44183	2L	""
CR44184	lncRNA:CR44184	2L	""
CR44185	lncRNA:CR44185	2L	""
CR44186	lncRNA:CR44186	2L	""
CR44187	lncRNA:CR44187	2L	""
CR44188	lncRNA:CR44188	2L	""
CR44189	lncRNA:CR44189	2L	""
CR44190	lncRNA:CR44190	2L	""
CR44191	lncRNA:CR44191	2L	""
CR44192	asRNA:CR44192	3R	""
CR44196	lncRNA:CR44196	2L	""
CR44197	lncRNA:CR44197	2L	""
CR44199	lncRNA:CR44199	2L	""
CR44200	lncRNA:CR44200	2R	""
CR44201	asRNA:CR44201	2R	""
CR44202	lncRNA:CR44202	2R	""
CR44203	lncRNA:CR44203	2R	""
CR44204	lncRNA:CR44204	2R	""
CR44205	asRNA:CR44205	2R	""
CR44206	lncRNA:CR44206	2R	""
CR44207	asRNA:CR44207	2R	""
CR44208	lncRNA:CR44208	2R	""
CR44209	lncRNA:CR44209	2R	""
CR44210	Ir47b	2R	""
CR44211	Ir56e	2R	""
CR44212	lncRNA:CR44212	2R	""
CR44213	lncRNA:CR44213	2R	""
CR44214	lncRNA:CR44214	2R	""
CR44216	lncRNA:CR44216	2L	""
CR44217	lncRNA:CR44217	2L	""
CR44218	lncRNA:CR44218	2L	""
CR44219	lncRNA:CR44219	2L	""
CR44220	lncRNA:CR44220	2L	""
CR44221	lncRNA:CR44221	2L	""
CR44222	lncRNA:CR44222	2L	""
CR44223	Ir60f	2R	""
CR44224	asRNA:CR44224	2L	""
CR44225	lncRNA:CR44225	3R	""
CR44226	lncRNA:CR44226	3R	""
CR44228	asRNA:CR44228	3R	""
CR44229	lncRNA:CR44229	3R	""
CR44230	lncRNA:CR44230	3R	""
CR44231	lncRNA:CR44231	3R	""
CR44232	lncRNA:CR44232	3R	""
CR44233	lncRNA:CR44233	3R	""
CR44234	lncRNA:CR44234	3R	""
CR44235	asRNA:CR44235	3R	""
CR44236	lncRNA:CR44236	3R	""
CR44237	asRNA:CR44237	3R	""
CR44238	asRNA:CR44238	3R	""
CR44241	lncRNA:CR44241	2R	""
CR44256	lncRNA:CR44256	3R	""
CR44258	lncRNA:CR44258	3R	""
CR44260	lncRNA:CR44260	3R	""
CR44262	lncRNA:CR44262	3R	""
CR44263	lncRNA:CR44263	3R	""
CR44264	lncRNA:CR44264	3R	""
CR44265	lncRNA:CR44265	3R	""
CR44266	asRNA:CR44266	X	""
CR44267	asRNA:CR44267	3R	""
CR44268	lncRNA:CR44268	2L	""
CR44269	lncRNA:CR44269	2L	""
CR44272	lncRNA:CR44272	2R	""
CR44273	lncRNA:CR44273	2R	""
CR44274	lncRNA:CR44274	2R	""
CR44275	asRNA:CR44275	2R	""
CR44276	lncRNA:CR44276	2R	""
CR44277	lncRNA:CR44277	2R	""
CR44278	lncRNA:CR44278	2R	""
CR44279	lncRNA:CR44279	2R	""
CR44280	lncRNA:CR44280	2R	""
CR44281	lncRNA:CR44281	2R	""
CR44282	lncRNA:CR44282	2R	""
CR44283	lncRNA:CR44283	2R	""
CR44284	lncRNA:CR44284	2R	""
CR44285	lncRNA:CR44285	2R	""
CR44287	asRNA:CR44287	3R	""
CR44288	lncRNA:CR44288	3R	""
CR44289	lncRNA:CR44289	3R	""
CR44291	asRNA:CR44291	3R	""
CR44292	lncRNA:CR44292	2R	""
CR44293	asRNA:CR44293	2R	""
CR44294	lncRNA:CR44294	2R	""
CR44295	lncRNA:CR44295	2R	""
CR44297	asRNA:CR44297	2R	""
CR44298	lncRNA:CR44298	2R	""
CR44299	lncRNA:CR44299	2R	""
CR44300	lncRNA:CR44300	2R	""
CR44301	lncRNA:CR44301	2R	""
CR44302	lncRNA:CR44302	2R	""
CR44304	asRNA:CR44304	2R	""
CR44305	lncRNA:CR44305	2R	""
CR44306	lncRNA:CR44306	2R	""
CR44307	lncRNA:CR44307	2L	""
CR44308	lncRNA:CR44308	2L	""
CR44309	lncRNA:CR44309	2L	""
CR44310	lncRNA:CR44310	2L	""
CR44311	lncRNA:CR44311	2L	""
CR44312	lncRNA:CR44312	2R	""
CR44313	lncRNA:CR44313	2R	""
CR44315	lncRNA:CR44315	2R	""
CR44316	lncRNA:CR44316	2R	""
CR44317	lncRNA:CR44317	3R	""
CR44318	lncRNA:CR44318	3R	""
CR44319	lncRNA:CR44319	3R	""
CR44320	lncRNA:CR44320	3R	""
CR44321	asRNA:CR44321	3R	""
CR44322	lncRNA:CR44322	3R	""
CR44323	lncRNA:CR44323	3R	""
CR44324	lncRNA:CR44324	3R	""
CR44326	lncRNA:CR44326	2L	""
CR44330	lncRNA:CR44330	3R	""
CR44331	lncRNA:CR44331	3R	""
CR44332	lncRNA:CR44332	3R	""
CR44333	lncRNA:CR44333	3R	""
CR44334	lncRNA:CR44334	3R	""
CR44336	lncRNA:TS14	3R	""
CR44337	lncRNA:CR44337	3R	""
CR44338	lncRNA:CR44338	3R	""
CR44339	lncRNA:CR44339	2R	""
CR44340	asRNA:CR44340	X	""
CR44343	lncRNA:CR44343	2R	""
CR44344	lncRNA:CR44344	2R	""
CR44345	lncRNA:CR44345	2L	""
CR44346	lncRNA:CR44346	2L	""
CR44347	lncRNA:CR44347	3L	""
CR44348	lncRNA:CR44348	3L	""
CR44349	lncRNA:CR44349	3R	""
CR44350	lncRNA:CR44350	3R	""
CR44351	asRNA:CR44351	3L	""
CR44352	lncRNA:CR44352	2L	""
CR44353	lncRNA:CR44353	X	""
CR44354	lncRNA:CR44354	X	""
CR44357	lncRNA:CR44357	X	""
CR44358	asRNA:CR44358	X	""
CR44360	lncRNA:CR44360	3L	""
CR44361	lncRNA:CR44361	3L	""
CR44363	lncRNA:CR44363	3L	""
CR44365	lncRNA:CR44365	2R	""
CR44366	lncRNA:CR44366	2R	""
CR44367	asRNA:CR44367	2R	""
CR44368	asRNA:CR44368	2R	""
CR44369	lncRNA:CR44369	2R	""
CR44370	asRNA:CR44370	2R	""
CR44371	lncRNA:CR44371	2R	""
CR44372	asRNA:CR44372	2R	""
CR44373	lncRNA:CR44373	2R	""
CR44374	asRNA:CR44374	X	""
CR44375	asRNA:CR44375	2R	""
CR44376	lncRNA:CR44376	2R	""
CR44377	lncRNA:CR44377	2R	""
CR44379	lncRNA:CR44379	2R	""
CR44380	lncRNA:CR44380	2R	""
CR44381	asRNA:CR44381	X	""
CR44382	asRNA:CR44382	X	""
CR44383	CR44383	X	""
CR44384	lncRNA:CR44384	X	""
CR44386	asRNA:CR44386	2R	""
CR44387	lncRNA:CR44387	2R	""
CR44389	lncRNA:CR44389	2R	""
CR44390	asRNA:CR44390	2R	""
CR44391	CR44391	2R	""
CR44392	lncRNA:CR44392	2L	""
CR44393	lncRNA:CR44393	2L	""
CR44394	CR44394	2L	""
CR44395	lncRNA:CR44395	2L	""
CR44396	lncRNA:CR44396	2L	""
CR44397	lncRNA:CR44397	2L	""
CR44398	lncRNA:CR44398	2L	""
CR44399	lncRNA:CR44399	2L	""
CR44400	lncRNA:CR44400	3R	""
CR44401	lncRNA:CR44401	3R	""
CR44407	lncRNA:CR44407	2L	""
CR44408	lncRNA:CR44408	2L	""
CR44409	lncRNA:CR44409	2L	""
CR44410	lncRNA:CR44410	2L	""
CR44411	lncRNA:CR44411	2L	""
CR44412	lncRNA:CR44412	2L	""
CR44413	lncRNA:CR44413	2L	""
CR44414	lncRNA:CR44414	2L	""
CR44415	lncRNA:CR44415	2L	""
CR44416	asRNA:CR44416	2R	""
CR44417	lncRNA:CR44417	2R	""
CR44418	lncRNA:CR44418	2R	""
CR44419	lncRNA:CR44419	2R	""
CR44420	lncRNA:CR44420	2R	""
CR44421	lncRNA:CR44421	2R	""
CR44423	lncRNA:CR44423	X	""
CR44427	asRNA:CR44427	X	""
CR44429	asRNA:CR44429	X	""
CR44430	lncRNA:CR44430	X	""
CR44431	asRNA:CR44431	X	""
CR44432	lncRNA:CR44432	2R	""
CR44440	lncRNA:CR44440	4	""
CR44441	lncRNA:CR44441	4	""
CR44442	lncRNA:CR44442	2R	""
CR44443	lncRNA:CR44443	2R	""
CR44444	lncRNA:CR44444	2R	""
CR44445	lncRNA:CR44445	2R	""
CR44446	lncRNA:CR44446	2R	""
CR44447	lncRNA:CR44447	2R	""
CR44448	lncRNA:CR44448	2R	""
CR44449	lncRNA:TS18	2R	""
CR44450	lncRNA:CR44450	2R	""
CR44451	lncRNA:CR44451	2R	""
CR44452	lncRNA:CR44452	2R	""
CR44453	lncRNA:CR44453	2R	""
CR44455	lncRNA:CR44455	2R	""
CR44456	lncRNA:CR44456	2R	""
CR44457	lncRNA:CR44457	2R	""
CR44458	lncRNA:CR44458	2R	""
CR44459	lncRNA:CR44459	2R	""
CR44460	lncRNA:CR44460	2R	""
CR44461	lncRNA:CR44461	2R	""
CR44462	lncRNA:CR44462	2R	""
CR44463	lncRNA:CR44463	2R	""
CR44464	lncRNA:CR44464	2R	""
CR44465	lncRNA:CR44465	2R	""
CR44466	lncRNA:CR44466	2R	""
CR44467	lncRNA:CR44467	2R	""
CR44468	lncRNA:CR44468	2R	""
CR44469	lncRNA:CR44469	X	""
CR44470	lncRNA:CR44470	X	""
CR44471	lncRNA:CR44471	X	""
CR44472	lncRNA:CR44472	2R	""
CR44473	lncRNA:CR44473	2R	""
CR44474	lncRNA:CR44474	2R	""
CR44478	lncRNA:CR44478	2L	""
CR44479	lncRNA:CR44479	2L	""
CR44480	lncRNA:CR44480	2L	""
CR44481	lncRNA:CR44481	2L	""
CR44482	lncRNA:CR44482	2L	""
CR44483	lncRNA:CR44483	2L	""
CR44484	lncRNA:CR44484	2L	""
CR44485	lncRNA:CR44485	2L	""
CR44486	lncRNA:CR44486	2L	""
CR44487	lncRNA:CR44487	2L	""
CR44488	lncRNA:CR44488	2L	""
CR44489	lncRNA:CR44489	2L	""
CR44490	lncRNA:CR44490	2L	""
CR44491	lncRNA:CR44491	2L	""
CR44492	lncRNA:CR44492	2L	""
CR44493	lncRNA:CR44493	2L	""
CR44494	lncRNA:CR44494	2L	""
CR44495	lncRNA:CR44495	2L	""
CR44496	lncRNA:CR44496	2L	""
CR44497	lncRNA:CR44497	2L	""
CR44498	lncRNA:CR44498	X	""
CR44499	lncRNA:CR44499	X	""
CR44500	lncRNA:CR44500	X	""
CR44501	lncRNA:CR44501	X	""
CR44502	lncRNA:CR44502	X	""
CR44503	lncRNA:CR44503	2R	""
CR44504	lncRNA:CR44504	2R	""
CR44505	lncRNA:CR44505	2R	""
CR44506	lncRNA:CR44506	2R	""
CR44507	lncRNA:CR44507	X	""
CR44508	lncRNA:CR44508	X	""
CR44509	asRNA:CR44509	2R	""
CR44510	lncRNA:CR44510	3L	""
CR44511	lncRNA:CR44511	3L	""
CR44512	asRNA:CR44512	X	""
CR44513	lncRNA:CR44513	3L	""
CR44514	lncRNA:CR44514	3L	""
CR44515	lncRNA:CR44515	3L	""
CR44516	lncRNA:CR44516	3L	""
CR44517	lncRNA:CR44517	X	""
CR44518	lncRNA:CR44518	3L	""
CR44519	lncRNA:CR44519	3L	""
CR44520	lncRNA:CR44520	3L	""
CR44522	lncRNA:CR44522	3L	""
CR44523	lncRNA:CR44523	3L	""
CR44524	lncRNA:CR44524	X	""
CR44525	lncRNA:CR44525	3L	""
CR44526	lncRNA:CR44526	3L	""
CR44527	lncRNA:CR44527	3L	""
CR44528	lncRNA:CR44528	3L	""
CR44529	lncRNA:CR44529	3L	""
CR44530	lncRNA:CR44530	3L	""
CR44531	lncRNA:CR44531	3L	""
CR44534	lncRNA:CR44534	X	""
CR44535	lncRNA:CR44535	3L	""
CR44536	lncRNA:CR44536	3L	""
CR44537	lncRNA:CR44537	3L	""
CR44538	lncRNA:CR44538	3L	""
CR44539	lncRNA:CR44539	3L	""
CR44540	lncRNA:CR44540	3L	""
CR44541	lncRNA:CR44541	3L	""
CR44542	lncRNA:CR44542	3L	""
CR44543	lncRNA:CR44543	3L	""
CR44544	lncRNA:CR44544	3L	""
CR44545	lncRNA:CR44545	3L	""
CR44546	lncRNA:CR44546	3L	""
CR44547	lncRNA:CR44547	3L	""
CR44548	lncRNA:CR44548	3L	""
CR44549	lncRNA:CR44549	3L	""
CR44550	lncRNA:CR44550	3L	""
CR44551	lncRNA:CR44551	3L	""
CR44552	lncRNA:CR44552	3L	""
CR44553	lncRNA:CR44553	3L	""
CR44554	lncRNA:CR44554	3L	""
CR44555	lncRNA:CR44555	3L	""
CR44556	lncRNA:CR44556	X	""
CR44557	lncRNA:CR44557	3L	""
CR44558	lncRNA:CR44558	3L	""
CR44559	lncRNA:CR44559	3L	""
CR44560	lncRNA:CR44560	3L	""
CR44561	lncRNA:CR44561	3L	""
CR44562	lncRNA:CR44562	3L	""
CR44563	lncRNA:CR44563	3L	""
CR44564	lncRNA:CR44564	3L	""
CR44565	lncRNA:CR44565	3L	""
CR44566	lncRNA:CR44566	3L	""
CR44567	lncRNA:CR44567	3L	""
CR44568	lncRNA:CR44568	X	""
CR44570	lncRNA:CR44570	2R	""
CR44571	lncRNA:CR44571	2R	""
CR44572	lncRNA:CR44572	2R	""
CR44573	lncRNA:CR44573	2R	""
CR44575	lncRNA:CR44575	2L	""
CR44576	lncRNA:CR44576	2L	""
CR44577	lncRNA:CR44577	2L	""
CR44578	lncRNA:CR44578	2L	""
CR44579	lncRNA:CR44579	2L	""
CR44580	lncRNA:CR44580	2L	""
CR44581	lncRNA:CR44581	2L	""
CR44582	lncRNA:CR44582	2L	""
CR44583	lncRNA:CR44583	2L	""
CR44584	lncRNA:CR44584	2L	""
CR44585	lncRNA:CR44585	2L	""
CR44586	lncRNA:CR44586	2L	""
CR44587	lncRNA:CR44587	2L	""
CR44588	lncRNA:CR44588	2L	""
CR44589	lncRNA:CR44589	2L	""
CR44590	lncRNA:CR44590	2L	""
CR44591	lncRNA:CR44591	2L	""
CR44592	asRNA:CR44592	2L	""
CR44593	lncRNA:CR44593	2L	""
CR44594	lncRNA:CR44594	2L	""
CR44595	lncRNA:CR44595	2L	""
CR44596	lncRNA:CR44596	2L	""
CR44597	lncRNA:CR44597	2L	""
CR44598	lncRNA:CR44598	2L	""
CR44599	asRNA:CR44599	2L	""
CR44600	asRNA:CR44600	2L	""
CR44601	lncRNA:CR44601	2L	""
CR44602	lncRNA:CR44602	2L	""
CR44603	lncRNA:CR44603	2L	""
CR44604	lncRNA:CR44604	2L	""
CR44605	lncRNA:CR44605	2L	""
CR44606	lncRNA:CR44606	2L	""
CR44607	lncRNA:CR44607	2L	""
CR44608	lncRNA:CR44608	2L	""
CR44609	lncRNA:CR44609	2L	""
CR44610	lncRNA:CR44610	2L	""
CR44611	lncRNA:CR44611	2L	""
CR44612	lncRNA:CR44612	2L	""
CR44613	lncRNA:CR44613	2L	""
CR44614	lncRNA:CR44614	2L	""
CR44615	lncRNA:CR44615	2L	""
CR44616	lncRNA:CR44616	2L	""
CR44617	lncRNA:CR44617	2L	""
CR44618	lncRNA:CR44618	2L	""
CR44619	lncRNA:CR44619	X	""
CR44620	lncRNA:CR44620	X	""
CR44621	lncRNA:CR44621	X	""
CR44626	lncRNA:CR44626	2R	""
CR44627	lncRNA:CR44627	2R	""
CR44628	lncRNA:CR44628	2R	""
CR44629	lncRNA:CR44629	2R	""
CR44630	lncRNA:CR44630	2R	""
CR44631	lncRNA:CR44631	2R	""
CR44632	lncRNA:CR44632	2R	""
CR44633	lncRNA:CR44633	2R	""
CR44634	lncRNA:CR44634	2R	""
CR44635	lncRNA:CR44635	2R	""
CR44636	lncRNA:CR44636	2R	""
CR44638	lncRNA:CR44638	2R	""
CR44639	lncRNA:CR44639	2R	""
CR44640	lncRNA:CR44640	2R	""
CR44641	lncRNA:CR44641	2R	""
CR44642	lncRNA:CR44642	2R	""
CR44643	lncRNA:CR44643	2R	""
CR44644	lncRNA:CR44644	2R	""
CR44645	lncRNA:CR44645	2R	""
CR44646	lncRNA:CR44646	2R	""
CR44647	lncRNA:CR44647	2R	""
CR44648	lncRNA:CR44648	2R	""
CR44649	lncRNA:CR44649	2R	""
CR44650	lncRNA:CR44650	2R	""
CR44651	lncRNA:CR44651	2R	""
CR44652	lncRNA:CR44652	2R	""
CR44653	asRNA:CR44653	2R	""
CR44654	lncRNA:CR44654	X	""
CR44655	lncRNA:CR44655	X	""
CR44657	lncRNA:CR44657	X	""
CR44658	lncRNA:CR44658	X	""
CR44659	CR44659	2R	""
CR44660	lncRNA:CR44660	2R	""
CR44661	lncRNA:CR44661	X	""
CR44662	lncRNA:CR44662	X	""
CR44663	lncRNA:CR44663	X	""
CR44664	lncRNA:CR44664	X	""
CR44665	lncRNA:CR44665	2R	""
CR44667	lncRNA:CR44667	2R	""
CR44668	lncRNA:CR44668	3L	""
CR44669	lncRNA:CR44669	3L	""
CR44670	lncRNA:CR44670	3L	""
CR44671	lncRNA:CR44671	3L	""
CR44672	lncRNA:CR44672	3L	""
CR44673	lncRNA:CR44673	3L	""
CR44674	lncRNA:CR44674	3L	""
CR44675	lncRNA:CR44675	3L	""
CR44676	lncRNA:CR44676	3L	""
CR44677	lncRNA:CR44677	3L	""
CR44678	lncRNA:CR44678	3L	""
CR44679	lncRNA:CR44679	3L	""
CR44680	lncRNA:CR44680	3L	""
CR44681	lncRNA:CR44681	3L	""
CR44682	lncRNA:CR44682	3L	""
CR44683	lncRNA:CR44683	3L	""
CR44684	lncRNA:CR44684	3L	""
CR44685	lncRNA:CR44685	3L	""
CR44686	lncRNA:CR44686	3L	""
CR44687	lncRNA:CR44687	3L	""
CR44688	lncRNA:CR44688	3L	""
CR44689	lncRNA:CR44689	3L	""
CR44690	asRNA:CR44690	X	""
CR44691	lncRNA:CR44691	X	""
CR44692	lncRNA:CR44692	X	""
CR44693	lncRNA:CR44693	2L	""
CR44694	lncRNA:CR44694	2L	""
CR44695	lncRNA:CR44695	2L	""
CR44696	lncRNA:CR44696	2L	""
CR44697	lncRNA:CR44697	2L	""
CR44698	lncRNA:CR44698	2L	""
CR44699	lncRNA:CR44699	2L	""
CR44700	lncRNA:CR44700	2L	""
CR44701	lncRNA:CR44701	2L	""
CR44702	lncRNA:CR44702	3L	""
CR44703	asRNA:CR44703	2R	""
CR44704	asRNA:CR44704	2R	""
CR44705	lncRNA:CR44705	X	""
CR44706	CR44706	2L	""
CR44707	lncRNA:CR44707	X	""
CR44708	lncRNA:CR44708	X	""
CR44709	lncRNA:CR44709	3L	""
CR44710	lncRNA:CR44710	X	""
CR44711	lncRNA:CR44711	X	""
CR44712	lncRNA:CR44712	X	""
CR44713	lncRNA:CR44713	3L	""
CR44714	lncRNA:CR44714	3L	""
CR44715	lncRNA:CR44715	3L	""
CR44716	lncRNA:CR44716	3L	""
CR44717	lncRNA:CR44717	3L	""
CR44718	lncRNA:CR44718	3L	""
CR44719	lncRNA:CR44719	3L	""
CR44720	lncRNA:CR44720	3L	""
CR44721	lncRNA:CR44721	3L	""
CR44722	lncRNA:CR44722	3L	""
CR44723	lncRNA:CR44723	3L	""
CR44724	asRNA:CR44724	2R	""
CR44725	lncRNA:CR44725	2R	""
CR44726	lncRNA:CR44726	2L	""
CR44727	lncRNA:CR44727	2L	""
CR44728	lncRNA:CR44728	2L	""
CR44729	lncRNA:CR44729	2L	""
CR44730	lncRNA:CR44730	2L	""
CR44731	lncRNA:CR44731	2L	""
CR44732	lncRNA:CR44732	2L	""
CR44733	lncRNA:CR44733	2L	""
CR44734	lncRNA:CR44734	2L	""
CR44735	lncRNA:CR44735	2L	""
CR44736	lncRNA:CR44736	2L	""
CR44737	lncRNA:CR44737	2L	""
CR44738	lncRNA:CR44738	2L	""
CR44739	lncRNA:CR44739	2L	""
CR44740	lncRNA:CR44740	2L	""
CR44741	lncRNA:CR44741	2L	""
CR44742	lncRNA:CR44742	2L	""
CR44743	lncRNA:CR44743	2L	""
CR44744	lncRNA:CR44744	2L	""
CR44745	lncRNA:CR44745	2L	""
CR44747	lncRNA:CR44747	2L	""
CR44748	lncRNA:CR44748	2R	""
CR44749	lncRNA:CR44749	2R	""
CR44750	lncRNA:CR44750	2R	""
CR44751	lncRNA:CR44751	X	""
CR44752	lncRNA:CR44752	X	""
CR44753	lncRNA:CR44753	X	""
CR44754	lncRNA:CR44754	X	""
CR44755	lncRNA:CR44755	2R	""
CR44756	lncRNA:CR44756	2R	""
CR44757	lncRNA:CR44757	2R	""
CR44758	lncRNA:CR44758	2R	""
CR44759	lncRNA:CR44759	2R	""
CR44760	lncRNA:CR44760	2R	""
CR44761	lncRNA:CR44761	2R	""
CR44762	lncRNA:CR44762	2R	""
CR44763	lncRNA:CR44763	2R	""
CR44764	lncRNA:CR44764	2R	""
CR44765	lncRNA:CR44765	X	""
CR44766	lncRNA:CR44766	X	""
CR44767	lncRNA:CR44767	2L	""
CR44768	lncRNA:CR44768	2L	""
CR44769	lncRNA:CR44769	2L	""
CR44770	lncRNA:CR44770	2L	""
CR44771	lncRNA:CR44771	2L	""
CR44772	lncRNA:CR44772	2L	""
CR44773	lncRNA:CR44773	2L	""
CR44775	lncRNA:CR44775	2L	""
CR44776	lncRNA:CR44776	2L	""
CR44777	lncRNA:CR44777	2L	""
CR44778	lncRNA:CR44778	2L	""
CR44779	lncRNA:CR44779	X	""
CR44780	lncRNA:CR44780	2R	""
CR44781	lncRNA:CR44781	2R	""
CR44782	lncRNA:CR44782	2R	""
CR44783	lncRNA:CR44783	2R	""
CR44784	lncRNA:CR44784	2R	""
CR44785	lncRNA:CR44785	2L	""
CR44786	lncRNA:CR44786	2L	""
CR44787	lncRNA:CR44787	2L	""
CR44788	lncRNA:CR44788	2L	""
CR44789	lncRNA:CR44789	2L	""
CR44790	lncRNA:CR44790	2L	""
CR44791	lncRNA:CR44791	2L	""
CR44792	asRNA:TS15	2L	""
CR44793	asRNA:CR44793	2L	""
CR44794	lncRNA:CR44794	2L	""
CR44795	lncRNA:CR44795	2L	""
CR44796	lncRNA:CR44796	2L	""
CR44797	lncRNA:CR44797	2L	""
CR44798	lncRNA:CR44798	2L	""
CR44799	lncRNA:CR44799	2L	""
CR44800	lncRNA:CR44800	2L	""
CR44801	lncRNA:CR44801	2L	""
CR44802	lncRNA:CR44802	2L	""
CR44803	lncRNA:CR44803	2L	""
CR44804	lncRNA:CR44804	2L	""
CR44805	lncRNA:CR44805	2R	""
CR44806	asRNA:CR44806	2R	""
CR44807	asRNA:CR44807	2R	""
CR44808	lncRNA:CR44808	2L	""
CR44809	lncRNA:CR44809	2L	""
CR44810	lncRNA:CR44810	2R	""
CR44811	asRNA:bsAS	2R	""
CR44813	lncRNA:CR44813	2R	""
CR44814	lncRNA:CR44814	2R	""
CR44816	lncRNA:CR44816	X	""
CR44817	lncRNA:CR44817	X	""
CR44818	asRNA:CR44818	2L	""
CR44819	lncRNA:CR44819	2L	""
CR44820	lncRNA:CR44820	2L	""
CR44821	lncRNA:CR44821	2L	""
CR44822	lncRNA:CR44822	2L	""
CR44823	lncRNA:CR44823	2L	""
CR44824	lncRNA:CR44824	2L	""
CR44825	lncRNA:CR44825	2L	""
CR44826	lncRNA:CR44826	2R	""
CR44827	lncRNA:CR44827	2R	""
CR44828	lncRNA:CR44828	2R	""
CR44829	lncRNA:CR44829	2R	""
CR44830	lncRNA:CR44830	2R	""
CR44831	lncRNA:CR44831	X	""
CR44832	lncRNA:CR44832	X	""
CR44833	lncRNA:CR44833	X	""
CR44834	lncRNA:CR44834	X	""
CR44839	CR44839	X	""
CR44840	asRNA:CR44840	X	""
CR44841	asRNA:CR44841	X	""
CR44842	lncRNA:CR44842	3L	""
CR44843	asRNA:CR44843	3L	""
CR44844	lncRNA:CR44844	2L	""
CR44845	lncRNA:CR44845	2L	""
CR44846	lncRNA:CR44846	2L	""
CR44847	asRNA:CR44847	2L	""
CR44848	lncRNA:CR44848	2L	""
CR44849	asRNA:CR44849	2L	""
CR44850	asRNA:CR44850	2L	""
CR44851	lncRNA:CR44851	2L	""
CR44852	lncRNA:CR44852	2L	""
CR44853	lncRNA:CR44853	2L	""
CR44854	lncRNA:CR44854	2L	""
CR44855	lncRNA:CR44855	2L	""
CR44856	lncRNA:CR44856	2L	""
CR44857	lncRNA:CR44857	2L	""
CR44858	lncRNA:CR44858	2L	""
CR44859	lncRNA:CR44859	2L	""
CR44860	lncRNA:CR44860	2L	""
CR44861	lncRNA:CR44861	2L	""
CR44862	lncRNA:CR44862	2L	""
CR44863	lncRNA:CR44863	2L	""
CR44864	lncRNA:CR44864	2L	""
CR44865	lncRNA:CR44865	2L	""
CR44866	asRNA:CR44866	2L	""
CR44867	lncRNA:CR44867	2L	""
CR44868	lncRNA:CR44868	2L	""
CR44870	lncRNA:CR44870	2L	""
CR44871	lncRNA:CR44871	2L	""
CR44872	asRNA:CR44872	2L	""
CR44873	asRNA:CR44873	2L	""
CR44874	lncRNA:CR44874	2L	""
CR44875	lncRNA:CR44875	2L	""
CR44885	lncRNA:CR44885	X	""
CR44886	lncRNA:CR44886	X	""
CR44887	lncRNA:CRG	3R	""
CR44888	lncRNA:CR44888	X	""
CR44889	lncRNA:CR44889	X	""
CR44891	asRNA:CR44891	X	""
CR44892	asRNA:CR44892	X	""
CR44893	lncRNA:CR44893	X	""
CR44894	asRNA:CR44894	X	""
CR44895	lncRNA:CR44895	X	""
CR44896	asRNA:CR44896	X	""
CR44897	asRNA:CR44897	2L	""
CR44898	lncRNA:CR44898	2L	""
CR44899	lncRNA:CR44899	2L	""
CR44900	lncRNA:CR44900	2L	""
CR44901	lncRNA:CR44901	2L	""
CR44902	lncRNA:CR44902	2L	""
CR44903	lncRNA:CR44903	2L	""
CR44904	lncRNA:CR44904	2L	""
CR44905	lncRNA:CR44905	2L	""
CR44906	CR44906	2L	""
